animal,group,subgroup,cort,sex,group2,cohort,group_cohort
H104.1,hm3dgq,GQ,cont,fem,cont,h100,cont_h100
H104.2,hm3dgq,GQ,cont,fem,cont,h100,cont_h100
H104.3,hm3dgq,GQ,cont,fem,cont,h100,cont_h100
H105.1,hm3dgq,GQ,cort,fem,cort,h100,cort_h100
H105.2,hm3dgq,GQ,cort,fem,cort,h100,cort_h100
H105.3,hm3dgq,GQ,cort,fem,cort,h100,cort_h100
H105.4,hm3dgq,GQ,cort,fem,cort,h100,cort_h100
H106.1,hm3dgq,GQ,cont,male,cont,h100,cont_h100
H106.2,hm3dgq,GQ,cont,male,cont,h100,cont_h100
H107.1,hm3dgq,GQ,cont,male,cont,h100,cont_h100
H107.2,hm3dgq,GQ,cont,male,cont,h100,cont_h100
H108.2,hm3dgq,GQ,cort,male,cort,h100,cort_h100
H108.3,hm3dgq,GQ,cort,male,cort,h100,cort_h100
H109.1,hm3dgq,GQ,cort,male,cort,h100,cort_h100
H109.2,hm3dgq,GQ,cort,male,cort,h100,cort_h100
H111.1,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110
H111.2,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110
H111.3,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110
H111.4,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110
H112.1,gfp,GQ,cort,fem,gfp,h110,gfp_h110
H112.2,gfp,GQ,cort,fem,gfp,h110,gfp_h110
H112.3,gfp,GQ,cort,fem,gfp,h110,gfp_h110
H113.1,gfp,GQ,cort,fem,gfp,h110,gfp_h110
H113.2,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110
H114.1,hm3dgq,GQ,cort,male,hm3dgq,h110,hm3dgq_h110
H114.2,hm3dgq,GQ,cort,male,hm3dgq,h110,hm3dgq_h110
H114.3,gfp,GQ,cort,male,gfp,h110,gfp_h110
h15.1,hm3dgq,GQ,cont,fem,,h15h20,
h15.2,hm3dgq,GQ,cont,fem,,h15h20,
h15.3,hm3dgq,GQ,cont,fem,,h15h20,
h16.1,hm3dgq,GQ,cort,fem,,h15h20,
h16.2,hm3dgq,GQ,cort,fem,,h15h20,
h16.3,hm3dgq,GQ,cort,fem,,h15h20,
h17.1,hm3dgq,GQ,cort,male,,h15h20,
h17.2,hm3dgq,GQ,cort,male,,h15h20,
h176.1,hm3dgq,GQ,cont,fem,,h170,
h176.2,hm3dgq,GQ,cont,fem,,h170,
h176.3,gfp,GQ,cont,fem,,h170,
h176.4,gfp,GQ,cont,fem,,h170,
h177.1,hm3dgq,GQ,cont,male,,h170,
h177.2,gfp,GQ,cont,male,,h170,
h178.1,hm3dgq,GQ,cont,male,,h170,
h178.2,gfp,GQ,cont,male,,h170,
h18.1,hm3dgq,GQ,cont,male,,h15h20,
h18.2,hm3dgq,GQ,cont,male,,h15h20,
h18.3,hm3dgq,GQ,cont,male,,h15h20,
h20.1,hm3dgq,GQ,cort,male,,h15h20,
h20.2,hm3dgq,GQ,cort,male,,h15h20,
h20.3,hm3dgq,GQ,cort,male,,h15h20,
h36.1,hm3dgq,GQ,cont,fem,,h36h39,
h36.2,gfp,GQ,cont,fem,,h36h39,
h37.1,hm3dgq,GQ,cont,male,,h36h39,
h37.2,hm3dgq,GQ,cont,male,,h36h39,
h37.3,gfp,GQ,cont,male,,h36h39,
h38.1,hm3dgq,GQ,cont,male,,h36h39,
h38.2,hm3dgq,GQ,cont,male,,h36h39,
h38.3,gfp,GQ,cont,male,,h36h39,
h38.4,gfp,GQ,cont,male,,h36h39,
h39.1,hm3dgq,GQ,cont,fem,,h36h39,
h39.2,gfp,GQ,cont,fem,,h36h39,
H82_2,gfp,GI,cont,fem,,h80h90,
H82_3,gfp,GI,cont,fem,,h80h90,
H82_4,gfp,GI,cont,fem,,h80h90,
H82_5,gfp,GI,cont,fem,,h80h90,
H83_2,hm4dgi,GI,cont,male,,h80h90,
H84_2,hm4dgi,GI,cont,fem,,h80h90,
H85_2,hm4dgi,GI,cont,male,,h80h90,
H85_3,hm4dgi,GI,cont,male,,h80h90,
H86_4,hm4dgi,GI,cont,fem,,h80h90,
H88_2,gfp,GI,cont,male,,h80h90,
H89_1,gfp,GI,cont,male,,h80h90,
H89_2,gfp,GI,cont,male,,h80h90,
H89_3,gfp,GI,cont,male,,h80h90,
H90.1,gfp,GI,cont,fem,,h80h90,
H90.2,gfp,GI,cont,fem,,h80h90,
H91.1,gfp,GI,cont,male,,h80h90,
H91.2,gfp,GI,cont,male,,h80h90,
H91.3,gfp,GI,cont,male,,h80h90,
H91.4,gfp,GI,cont,male,,h80h90,
H91.5,hm4dgi,GI,cont,male,,h80h90,
H92.1,hm4dgi,GI,cont,male,,h80h90,
H93.1,gfp,GI,cont,fem,,h80h90,
H93.2,hm4dgi,GI,cont,fem,,h80h90,
H93.3,gfp,GI,cont,fem,,h80h90,
H93.4,hm4dgi,GI,cont,fem,,h80h90,
H94.1,hm4dgi,GI,cont,fem,,h80h90,
H94.2,hm4dgi,GI,cont,fem,,h80h90,
H94.3,hm4dgi,GI,cont,fem,,h80h90,
H96.1,hm4dgi,GI,cont,male,,h80h90,
H96.2,hm4dgi,GI,cont,male,,h80h90,