Animal,Distance,treatment,cohort,excl
H82_1,8548.863,cno,h80,excl
H82_2,7395.4,cno,h80,excl
H82_3,7753.361,cno,h80,excl
H82_4,10644.138,cno,h80,excl
H82_5,9684.737,cno,h80,excl
H83_1,7651.507,cno,h80,excl
H83_1,1282.968,veh,h80,
H83_2,6501.027,cno,h80,
H83_2,2351.196,veh,h80,
H83_3,4662.728,cno,h80,
H83_3,4599.161,veh,h80,
H83_4,7004.308,cno,h80,
H83_4,7915.438,veh,h80,
H83_5,7618.874,cno,h80,
H83_5,10656.049,veh,h80,
H84_1,3414.874,cno,h80,
H84_2,4005.113,cno,h80,
H85_1,8347.155,cno,h80,
H85_1,4692.562,veh,h80,
H85_2,5004.209,cno,h80,
H85_2,5114.035,veh,h80,
H85_3,6397.147,cno,h80,
H85_3,17145.688,veh,h80,
H86_1,7649.955,cno,h80,excl
H86_2,7994.498,cno,h80,excl
H86_4,4442.11,cno,h80,excl
H88_1,8424.153,cno,h80,excl
H88_2,9835.383,cno,h80,excl
H89_1,9494.416,cno,h80,excl
H89_2,9356.26,cno,h80,excl
H89_3,9687.486,cno,h80,excl
H90.2,9063.135,cno,h90,
H90.2,8703.133,veh,h90,
H91.1,9776.946,cno,h90,
H91.1,10175.139,veh,h90,
H91.2,6929.194,cno,h90,
H91.2,5775.97,veh,h90,
H91.3,5477.514,cno,h90,
H91.3,4792.813,veh,h90,
H91.4,4694.276,cno,h90,
H91.4,4355.124,veh,h90,
H91.5,7997.104,cno,h90,
H91.5,7613.992,veh,h90,
H92.1,5318.32,cno,h90,
H92.1,3069.944,veh,h90,
H92.3,6672.292,cno,h90,
H92.3,6079.376,veh,h90,
H93.1,9508.063,cno,h90,
H93.1,7419.622,veh,h90,
H93.2,6584.539,cno,h90,
H93.2,6547.534,veh,h90,
H93.3,4845.096,cno,h90,
H93.3,4496.315,veh,h90,
H93.4,5944.456,cno,h90,
H93.4,5311.506,veh,h90,
H94.1,5036.682,cno,h90,
H94.1,5993.27,veh,h90,
H94.2,8834.757,cno,h90,
H94.2,5964.04,veh,h90,
H94.3,3452.173,cno,h90,
H94.3,5876.288,veh,h90,
H96.1,3147.404,cno,h90,
H96.1,5776.9,veh,h90,
H96.2,8743.896,cno,h90,
H96.2,8284.383,veh,h90,