filename,signal,zscore,auc,training,excl,sex
h166.1_light1_rewarded_light2_no30f_2025-03-16T17_40_12.csv,rewarded,1.40681391,1.389639587,before,,female
h166.1_light1_rewarded_light2_no30f_2025-03-16T17_40_12.csv,non_rewarded,1.058310049,1.003036173,before,,female
h166.1_light1_rewarded_light2_no60f_2025-03-23T15_55_56.csv,rewarded,2.758824315,2.725298043,after,,female
h166.1_light1_rewarded_light2_no60f_2025-03-23T15_55_56.csv,non_rewarded,1.405192018,1.388532767,after,,female
h166.2_light1_rewarded_light2_no60f_2025-03-25T16_29_36.csv,rewarded,1.434377511,1.409617428,before,,male
h166.2_light1_rewarded_light2_no60f_2025-03-25T16_29_36.csv,non_rewarded,1.741568229,1.716208841,before,,male
h166.2_light1_rewarded_light2_no60f_2025-04-14T11_57_22.csv,rewarded,1.344326613,1.322991739,after,,male
h166.2_light1_rewarded_light2_no60f_2025-04-14T11_57_22.csv,non_rewarded,0.52572128,0.51446061,after,,male
h176.3_bnc0_light1_rewarded_bnc1_light2_no_2025-08-22T11_45_12.csv,rewarded,0.400156729,0.41160167,before,,female
h176.3_bnc0_light1_rewarded_bnc1_light2_no_2025-08-22T11_45_12.csv,non_rewarded,0.124482724,0.145759963,before,,female
h176.3_light1_rewarding_light2_no_2025-09-15T13_59_02.csv,rewarded,1.392071919,1.380455751,after,,female
h176.3_light1_rewarding_light2_no_2025-09-15T13_59_02.csv,non_rewarded,-0.55915504,-0.495181272,after,,female
h178.2_bnc0_light1_rewarded_bnc1_light2_no_2025-08-22T12_37_42.csv,rewarded,0.994164436,0.976982692,before,,male
h178.2_bnc0_light1_rewarded_bnc1_light2_no_2025-08-22T12_37_42.csv,non_rewarded,1.319228762,1.29903364,before,,male
h178.2_bnc0_light1_rewarded_bnc1_light2_no_2025-09-15T15_29_52.csv,rewarded,1.203638766,1.219364635,after,,male
h178.2_bnc0_light1_rewarded_bnc1_light2_no_2025-09-15T15_29_52.csv,non_rewarded,1.212773024,1.193325546,after,,male
h54.1_reward_light_2024-07-15T12_10_55.csv,rewarded,0.806437554,0.794871653,before,,male
h54.1_reward_light_2024-07-15T12_10_55.csv,non_rewarded,0.868970776,0.849977035,before,,male
h54.1_reward_light_2024-07-24T11_35_54.csv,rewarded,0.568782117,0.557878532,after,,male
h54.1_reward_light_2024-07-24T11_35_54.csv,non_rewarded,0.164571164,0.152971475,after,,male
h54.2_reward_light_2024-07-16T11_38_26.csv,rewarded,0.497549802,0.487222916,before,,male
h54.2_reward_light_2024-07-16T11_38_26.csv,non_rewarded,0.82129428,0.808754844,before,,male
h54.2_reward_light_2024-07-23T12_51_19.csv,rewarded,0.466642236,0.451407599,after,,male
h54.2_reward_light_2024-07-23T12_51_19.csv,non_rewarded,0.091047623,0.087500973,after,,male
h54.3_reward_light_2024-07-14T11_24_52.csv,rewarded,0.591696636,0.587280321,before,,male
h54.3_reward_light_2024-07-14T11_24_52.csv,non_rewarded,0.802592522,0.799042094,before,,male
h54.3_reward_light_2024-07-21T11_26_48.csv,rewarded,0.51192212,0.50231464,after,,male
h54.3_reward_light_2024-07-21T11_26_48.csv,non_rewarded,0.250234118,0.245017921,after,,male
h22.2_light1_reward_light2_no_2024-05-02T15_38_49.csv,rewarded,0.574984664,0.562176248,before,,female
h22.2_light1_reward_light2_no_2024-05-02T15_38_49.csv,non_rewarded,0.617682266,0.609494476,before,,female
h22.2_light1_reward_light2_no_2024-05-10T14_10_19.csv,rewarded,1.342612893,1.315737457,after,,female
h22.2_light1_reward_light2_no_2024-05-10T14_10_19.csv,non_rewarded,0.189321248,0.193089199,after,,female
h24.1_light1_reward_light2_no_2024-04-29T18_25_21.csv,rewarded,1.324955364,1.302714745,before,,female
h24.1_light1_reward_light2_no_2024-04-29T18_25_21.csv,non_rewarded,1.421151965,1.402461034,before,,female
h24.1_light1_reward_light2_no_2024-05-17T14_10_32.csv,rewarded,1.252552091,1.250513904,after,,female
h24.1_light1_reward_light2_no_2024-05-17T14_10_32.csv,non_rewarded,0.652579874,0.660467429,after,,female