animal,day,succes_rate
h56.1,d05,0.093023256
h56.1,d06,0.488888889
h56.1,d07,0.755102041
h56.1,d08,0.591836735
h56.1,d09,0.428571429
h56.1,d10,0.906976744
h56.1,d11,0.760869565
h56.2,d05,0.636363636
h56.2,d06,0.636363636
h56.2,d07,0.857142857
h56.2,d08,0.769230769
h56.2,d09,0.869565217
h56.2,d10,0.976744186
h56.2,d11,0.829787234
h57.1,d05,0.391304348
h57.1,d06,0.70212766
h57.1,d07,0.593220339
h57.1,d08,0.386363636
h57.1,d09,0.363636364
h57.1,d10,0.736842105
h57.1,d11,0.773584906
h57.2,d05,0.236842105
h57.2,d06,0.688888889
h57.2,d07,0.689655172
h57.2,d08,0.708333333
h57.2,d09,0.75
h57.2,d10,0.769230769
h57.2,d11,0.775862069
h165.1,d05,0.622
h165.1,d06,0.63
h165.1,d07,0.842
h165.1,d08,0.875
h165.1,d09,0.897
h165.1,d10,0.814
h165.1,d11,0.854
h165.2,d05,0.542
h165.2,d06,0.577
h165.2,d07,0.784
h165.2,d08,0.833
h165.2,d09,0.727
h165.2,d10,0.833
h165.2,d11,0.833
h165.3,d05,0.45
h165.3,d06,0.364
h165.3,d07,0.711
h165.3,d08,1
h165.3,d09,1
h165.3,d10,0.972
h165.3,d11,1
h165.4,d05,0.854
h165.4,d06,0.875
h165.4,d07,0.897
h165.4,d08,0.778
h165.4,d09,0.972
h165.4,d10,0.972
h165.4,d11,1