animal,Date,pellets,food_restriction
h172.1,8/5/2025,12,acute
h172.2,8/5/2025,15,acute
h172.3,8/5/2025,14,acute
h173.1,8/5/2025,10,acute
h173.2,8/5/2025,20,acute
h173.3,8/5/2025,23,acute
h174.1,8/5/2025,24,acute
h174.2,8/5/2025,34,acute
h174.3,8/5/2025,23,acute
h174.4,8/5/2025,31,acute
h175.1,8/5/2025,11,acute
h175.2,8/5/2025,14,acute
h175.3,8/5/2025,19,acute
h175.4,8/5/2025,29,acute
h175.5,8/5/2025,14,acute
h172.1,7/31/2025,25,long
h172.2,7/31/2025,25,long
h172.3,7/31/2025,33,long
h173.1,7/31/2025,23,long
h173.2,7/31/2025,25,long
h173.3,7/31/2025,23,long
h174.1,7/31/2025,34,long
h174.2,7/31/2025,38,long
h174.3,7/31/2025,42,long
h174.4,7/31/2025,32,long
h175.1,7/31/2025,44,long
h175.2,7/31/2025,32,long
h175.3,7/31/2025,25,long
h175.4,7/31/2025,36,long
h175.5,7/31/2025,29,long