animal,sex,group,treatm,Date,Clock time,rate,block,excl,block2,cohort
h179.1,female,gfp,cno,11/7/25,12:50:09,28,beginning,,beginning,cohort1
h179.1,female,gfp,cno,11/7/25,12:50:09,16,light1,,light,cohort1
h179.1,female,gfp,cno,,,6,light2,,light,cohort1
h179.1,female,gfp,cno,11/7/25,12:50:09,14,sound1,,sound,cohort1
h179.1,female,gfp,cno,,,0,sound2,,sound,cohort1
h179.1,female,gfp,veh,11/10/25,12:37:27,20,beginning,,beginning,cohort1
h179.1,female,gfp,veh,11/10/25,12:37:27,4,light1,,light,cohort1
h179.1,female,gfp,veh,,,8,light2,,light,cohort1
h179.1,female,gfp,veh,11/10/25,12:37:27,2,sound1,,sound,cohort1
h179.1,female,gfp,veh,,,0,sound2,,sound,cohort1
h179.2,female,gfp,cno,11/7/25,12:50:09,20,beginning,,beginning,cohort1
h179.2,female,gfp,cno,11/7/25,12:50:09,4,light1,,light,cohort1
h179.2,female,gfp,cno,,,0,light2,,light,cohort1
h179.2,female,gfp,cno,11/7/25,12:50:09,0,sound1,,sound,cohort1
h179.2,female,gfp,cno,,,0,sound2,,sound,cohort1
h179.2,female,gfp,veh,11/10/25,12:37:27,8,beginning,,beginning,cohort1
h179.2,female,gfp,veh,11/10/25,12:37:27,2,light1,,light,cohort1
h179.2,female,gfp,veh,,,0,light2,,light,cohort1
h179.2,female,gfp,veh,11/10/25,12:37:27,4,sound1,,sound,cohort1
h179.2,female,gfp,veh,,,4,sound2,,sound,cohort1
h179.3,female,gfp,cno,11/7/25,12:50:09,20,beginning,,beginning,cohort1
h179.3,female,gfp,cno,11/7/25,12:50:09,0,light1,,light,cohort1
h179.3,female,gfp,cno,,,2,light2,,light,cohort1
h179.3,female,gfp,cno,11/7/25,12:50:09,4,sound1,,sound,cohort1
h179.3,female,gfp,cno,,,0,sound2,,sound,cohort1
h179.3,female,gfp,veh,11/10/25,12:37:27,4,beginning,,beginning,cohort1
h179.3,female,gfp,veh,11/10/25,12:37:27,6,light1,,light,cohort1
h179.3,female,gfp,veh,,,0,light2,,light,cohort1
h179.3,female,gfp,veh,11/10/25,12:37:27,0,sound1,,sound,cohort1
h179.3,female,gfp,veh,,,6,sound2,,sound,cohort1
h179.4,female,gi,cno,11/7/25,12:50:09,0,beginning,,beginning,cohort1
h179.4,female,gi,cno,11/7/25,12:50:09,0,light1,,light,cohort1
h179.4,female,gi,cno,,,0,light2,,light,cohort1
h179.4,female,gi,cno,11/7/25,12:50:09,2,sound1,,sound,cohort1
h179.4,female,gi,cno,,,0,sound2,,sound,cohort1
h179.4,female,gi,veh,11/10/25,12:37:27,16,beginning,,beginning,cohort1
h179.4,female,gi,veh,11/10/25,12:37:27,26,light1,,light,cohort1
h179.4,female,gi,veh,,,10,light2,,light,cohort1
h179.4,female,gi,veh,11/10/25,12:37:27,32,sound1,,sound,cohort1
h179.4,female,gi,veh,,,10,sound2,,sound,cohort1
h179.5,female,gi,cno,11/7/25,12:50:09,0,beginning,,beginning,cohort1
h179.5,female,gi,cno,11/7/25,12:50:09,0,light1,,light,cohort1
h179.5,female,gi,cno,,,2,light2,,light,cohort1
h179.5,female,gi,cno,11/7/25,12:50:09,12,sound1,,sound,cohort1
h179.5,female,gi,cno,,,0,sound2,,sound,cohort1
h179.5,female,gi,veh,11/10/25,12:37:27,20,beginning,,beginning,cohort1
h179.5,female,gi,veh,11/10/25,12:37:27,0,light1,,light,cohort1
h179.5,female,gi,veh,,,2,light2,,light,cohort1
h179.5,female,gi,veh,11/10/25,12:37:27,4,sound1,,sound,cohort1
h179.5,female,gi,veh,,,4,sound2,,sound,cohort1
h180.1,female,gfp,cno,11/7/25,12:50:09,24,beginning,,beginning,cohort1
h180.1,female,gfp,cno,11/7/25,12:50:09,8,light1,,light,cohort1
h180.1,female,gfp,cno,,,10,light2,,light,cohort1
h180.1,female,gfp,cno,11/7/25,12:50:09,0,sound1,,sound,cohort1
h180.1,female,gfp,cno,,,0,sound2,,sound,cohort1
h180.1,female,gfp,veh,11/10/25,12:37:27,4,beginning,,beginning,cohort1
h180.1,female,gfp,veh,11/10/25,12:37:27,0,light1,,light,cohort1
h180.1,female,gfp,veh,,,12,light2,,light,cohort1
h180.1,female,gfp,veh,11/10/25,12:37:27,6,sound1,,sound,cohort1
h180.1,female,gfp,veh,,,2,sound2,,sound,cohort1
h180.2,female,gi,cno,11/7/25,12:50:09,24,beginning,,beginning,cohort1
h180.2,female,gi,cno,11/7/25,12:50:09,4,light1,,light,cohort1
h180.2,female,gi,cno,,,0,light2,,light,cohort1
h180.2,female,gi,cno,11/7/25,12:50:09,4,sound1,,sound,cohort1
h180.2,female,gi,cno,,,8,sound2,,sound,cohort1
h180.2,female,gi,veh,11/10/25,12:37:27,20,beginning,,beginning,cohort1
h180.2,female,gi,veh,11/10/25,12:37:27,4,light1,,light,cohort1
h180.2,female,gi,veh,,,0,light2,,light,cohort1
h180.2,female,gi,veh,11/10/25,12:37:27,12,sound1,,sound,cohort1
h180.2,female,gi,veh,,,8,sound2,,sound,cohort1
h180.3,female,gi,cno,11/7/25,12:50:09,4,beginning,,beginning,cohort1
h180.3,female,gi,cno,11/7/25,12:50:09,0,light1,,light,cohort1
h180.3,female,gi,cno,,,4,light2,,light,cohort1
h180.3,female,gi,cno,11/7/25,12:50:09,0,sound1,,sound,cohort1
h180.3,female,gi,cno,,,30,sound2,,sound,cohort1
h180.3,female,gi,veh,11/10/25,12:37:27,32,beginning,,beginning,cohort1
h180.3,female,gi,veh,11/10/25,12:37:27,0,light1,,light,cohort1
h180.3,female,gi,veh,,,2,light2,,light,cohort1
h180.3,female,gi,veh,11/10/25,12:37:27,2,sound1,,sound,cohort1
h180.3,female,gi,veh,,,2,sound2,,sound,cohort1
h182.1,male,gi,cno,,,0,beginning,excl,beginning,cohort1
h182.1,male,gi,cno,,,0,light1,excl,light,cohort1
h182.1,male,gi,cno,,,2,light2,,light,cohort1
h182.1,male,gi,cno,,,0,sound1,excl,sound,cohort1
h182.1,male,gi,cno,,,0,sound2,,sound,cohort1
h182.1,male,gi,veh,11/10/25,12:52:12,48,beginning,excl,beginning,cohort1
h182.1,male,gi,veh,11/10/25,12:52:12,8,light1,excl,light,cohort1
h182.1,male,gi,veh,,,0,light2,,light,cohort1
h182.1,male,gi,veh,11/10/25,12:52:12,18,sound1,excl,sound,cohort1
h182.1,male,gi,veh,,,0,sound2,,sound,cohort1
h182.2,male,gi,cno,11/7/25,12:31:08,8,beginning,,beginning,cohort1
h182.2,male,gi,cno,11/7/25,12:31:08,0,light1,,light,cohort1
h182.2,male,gi,cno,,,2,light2,,light,cohort1
h182.2,male,gi,cno,11/7/25,12:31:08,16,sound1,,sound,cohort1
h182.2,male,gi,cno,,,8,sound2,,sound,cohort1
h182.2,male,gi,veh,11/10/25,12:52:12,28,beginning,,beginning,cohort1
h182.2,male,gi,veh,11/10/25,12:52:12,6,light1,,light,cohort1
h182.2,male,gi,veh,,,2,light2,,light,cohort1
h182.2,male,gi,veh,11/10/25,12:52:12,14,sound1,,sound,cohort1
h182.2,male,gi,veh,,,0,sound2,,sound,cohort1
h182.3,male,gfp,cno,11/7/25,12:31:08,32,beginning,,beginning,cohort1
h182.3,male,gfp,cno,11/7/25,12:31:08,2,light1,,light,cohort1
h182.3,male,gfp,cno,,,2,light2,,light,cohort1
h182.3,male,gfp,cno,11/7/25,12:31:08,6,sound1,,sound,cohort1
h182.3,male,gfp,cno,,,0,sound2,,sound,cohort1
h182.3,male,gfp,veh,11/10/25,12:52:12,16,beginning,,beginning,cohort1
h182.3,male,gfp,veh,11/10/25,12:52:12,12,light1,,light,cohort1
h182.3,male,gfp,veh,,,8,light2,,light,cohort1
h182.3,male,gfp,veh,11/10/25,12:52:12,10,sound1,,sound,cohort1
h182.3,male,gfp,veh,,,4,sound2,,sound,cohort1
h182.4,male,gfp,cno,11/7/25,12:31:08,24,beginning,,beginning,cohort1
h182.4,male,gfp,cno,11/7/25,12:31:08,0,light1,,light,cohort1
h182.4,male,gfp,cno,,,0,light2,,light,cohort1
h182.4,male,gfp,cno,11/7/25,12:31:08,14,sound1,,sound,cohort1
h182.4,male,gfp,cno,,,2,sound2,,sound,cohort1
h182.4,male,gfp,veh,11/10/25,12:52:12,32,beginning,,beginning,cohort1
h182.4,male,gfp,veh,11/10/25,12:52:12,0,light1,,light,cohort1
h182.4,male,gfp,veh,,,0,light2,,light,cohort1
h182.4,male,gfp,veh,11/10/25,12:52:12,24,sound1,,sound,cohort1
h182.4,male,gfp,veh,,,0,sound2,,sound,cohort1
h183.1,male,gi,cno,11/7/25,12:10:15,0,beginning,,beginning,cohort1
h183.1,male,gi,cno,11/7/25,12:10:15,0,light1,,light,cohort1
h183.1,male,gi,cno,,,2,light2,,light,cohort1
h183.1,male,gi,cno,11/7/25,12:10:15,12,sound1,,sound,cohort1
h183.1,male,gi,cno,,,6,sound2,,sound,cohort1
h183.1,male,gi,veh,11/10/25,13:12:20,24,beginning,,beginning,cohort1
h183.1,male,gi,veh,11/10/25,13:12:20,0,light1,,light,cohort1
h183.1,male,gi,veh,,,0,light2,,light,cohort1
h183.1,male,gi,veh,11/10/25,13:12:20,18,sound1,,sound,cohort1
h183.1,male,gi,veh,,,0,sound2,,sound,cohort1
h183.2,male,gfp,cno,11/7/25,12:10:15,20,beginning,,beginning,cohort1
h183.2,male,gfp,cno,11/7/25,12:10:15,0,light1,,light,cohort1
h183.2,male,gfp,cno,,,2,light2,,light,cohort1
h183.2,male,gfp,cno,11/7/25,12:10:15,24,sound1,,sound,cohort1
h183.2,male,gfp,cno,,,0,sound2,,sound,cohort1
h183.2,male,gfp,veh,11/10/25,13:12:20,40,beginning,,beginning,cohort1
h183.2,male,gfp,veh,11/10/25,13:12:20,0,light1,,light,cohort1
h183.2,male,gfp,veh,,,0,light2,,light,cohort1
h183.2,male,gfp,veh,11/10/25,13:12:20,20,sound1,,sound,cohort1
h183.2,male,gfp,veh,,,0,sound2,,sound,cohort1
h184.1,female,gi,cno,,,0,beginning,excl,beginning,cohort1
h184.1,female,gi,cno,,,0,light1,excl,light,cohort1
h184.1,female,gi,cno,,,0,light2,,light,cohort1
h184.1,female,gi,cno,,,0,sound1,excl,sound,cohort1
h184.1,female,gi,cno,,,0,sound2,,sound,cohort1
h184.1,female,gi,veh,11/10/25,12:52:12,52,beginning,excl,beginning,cohort1
h184.1,female,gi,veh,11/10/25,12:52:12,36,light1,excl,light,cohort1
h184.1,female,gi,veh,,,10,light2,,light,cohort1
h184.1,female,gi,veh,11/10/25,12:52:12,58,sound1,excl,sound,cohort1
h184.1,female,gi,veh,,,40,sound2,,sound,cohort1
h184.2,female,gfp,cno,11/7/25,12:31:08,52,beginning,,beginning,cohort1
h184.2,female,gfp,cno,11/7/25,12:31:08,10,light1,,light,cohort1
h184.2,female,gfp,cno,,,10,light2,,light,cohort1
h184.2,female,gfp,cno,11/7/25,12:31:08,16,sound1,,sound,cohort1
h184.2,female,gfp,cno,,,2,sound2,,sound,cohort1
h184.2,female,gfp,veh,11/10/25,12:52:12,12,beginning,,beginning,cohort1
h184.2,female,gfp,veh,11/10/25,12:52:12,8,light1,,light,cohort1
h184.2,female,gfp,veh,,,4,light2,,light,cohort1
h184.2,female,gfp,veh,11/10/25,12:52:12,0,sound1,,sound,cohort1
h184.2,female,gfp,veh,,,8,sound2,,sound,cohort1
h184.3,female,gfp,cno,11/7/25,12:31:08,0,beginning,,beginning,cohort1
h184.3,female,gfp,cno,11/7/25,12:31:08,12,light1,,light,cohort1
h184.3,female,gfp,cno,,,12,light2,,light,cohort1
h184.3,female,gfp,cno,11/7/25,12:31:08,6,sound1,,sound,cohort1
h184.3,female,gfp,cno,,,20,sound2,,sound,cohort1
h184.3,female,gfp,veh,11/10/25,12:52:12,8,beginning,,beginning,cohort1
h184.3,female,gfp,veh,11/10/25,12:52:12,2,light1,,light,cohort1
h184.3,female,gfp,veh,,,0,light2,,light,cohort1
h184.3,female,gfp,veh,11/10/25,12:52:12,18,sound1,,sound,cohort1
h184.3,female,gfp,veh,,,4,sound2,,sound,cohort1
h185.1,female,gi,cno,11/7/25,12:10:15,0,beginning,,beginning,cohort1
h185.1,female,gi,cno,11/7/25,12:10:15,10,light1,,light,cohort1
h185.1,female,gi,cno,,,8,light2,,light,cohort1
h185.1,female,gi,cno,11/7/25,12:10:15,4,sound1,,sound,cohort1
h185.1,female,gi,cno,,,8,sound2,,sound,cohort1
h185.1,female,gi,veh,11/10/25,13:12:20,52,beginning,,beginning,cohort1
h185.1,female,gi,veh,11/10/25,13:12:20,6,light1,,light,cohort1
h185.1,female,gi,veh,,,2,light2,,light,cohort1
h185.1,female,gi,veh,11/10/25,13:12:20,12,sound1,,sound,cohort1
h185.1,female,gi,veh,,,8,sound2,,sound,cohort1
h185.2,female,gi,cno,11/7/25,12:10:15,0,beginning,,beginning,cohort1
h185.2,female,gi,cno,11/7/25,12:10:15,2,light1,,light,cohort1
h185.2,female,gi,cno,,,4,light2,,light,cohort1
h185.2,female,gi,cno,11/7/25,12:10:15,12,sound1,,sound,cohort1
h185.2,female,gi,cno,,,6,sound2,,sound,cohort1
h185.2,female,gi,veh,11/10/25,13:12:20,0,beginning,,beginning,cohort1
h185.2,female,gi,veh,11/10/25,13:12:20,12,light1,,light,cohort1
h185.2,female,gi,veh,,,6,light2,,light,cohort1
h185.2,female,gi,veh,11/10/25,13:12:20,66,sound1,,sound,cohort1
h185.2,female,gi,veh,,,18,sound2,,sound,cohort1
h185.3,female,gfp,cno,11/7/25,12:10:15,28,beginning,,beginning,cohort1
h185.3,female,gfp,cno,11/7/25,12:10:15,0,light1,,light,cohort1
h185.3,female,gfp,cno,,,0,light2,,light,cohort1
h185.3,female,gfp,cno,11/7/25,12:10:15,18,sound1,,sound,cohort1
h185.3,female,gfp,cno,,,10,sound2,,sound,cohort1
h185.3,female,gfp,veh,11/10/25,13:12:20,36,beginning,,beginning,cohort1
h185.3,female,gfp,veh,11/10/25,13:12:20,0,light1,,light,cohort1
h185.3,female,gfp,veh,,,0,light2,,light,cohort1
h185.3,female,gfp,veh,11/10/25,13:12:20,2,sound1,,sound,cohort1
h185.3,female,gfp,veh,,,6,sound2,,sound,cohort1
h186.1,male,gi,cno,,,0,beginning,excl,beginning,cohort1
h186.1,male,gi,cno,,,0,light1,excl,light,cohort1
h186.1,male,gi,cno,,,8,light2,,light,cohort1
h186.1,male,gi,cno,,,0,sound1,excl,sound,cohort1
h186.1,male,gi,cno,,,8,sound2,,sound,cohort1
h186.1,male,gi,veh,11/10/25,13:12:20,0,beginning,excl,beginning,cohort1
h186.1,male,gi,veh,11/10/25,13:12:20,16,light1,excl,light,cohort1
h186.1,male,gi,veh,,,2,light2,,light,cohort1
h186.1,male,gi,veh,11/10/25,13:12:20,0,sound1,excl,sound,cohort1
h186.1,male,gi,veh,,,0,sound2,,sound,cohort1
h186.2,male,gi,cno,11/7/25,12:10:15,0,beginning,,beginning,cohort1
h186.2,male,gi,cno,11/7/25,12:10:15,2,light1,,light,cohort1
h186.2,male,gi,cno,,,0,light2,,light,cohort1
h186.2,male,gi,cno,11/7/25,12:10:15,34,sound1,,sound,cohort1
h186.2,male,gi,cno,,,6,sound2,,sound,cohort1
h186.2,male,gi,veh,11/10/25,13:12:20,4,beginning,,beginning,cohort1
h186.2,male,gi,veh,11/10/25,13:12:20,6,light1,,light,cohort1
h186.2,male,gi,veh,,,8,light2,,light,cohort1
h186.2,male,gi,veh,11/10/25,13:12:20,8,sound1,,sound,cohort1
h186.2,male,gi,veh,,,0,sound2,,sound,cohort1
h186.3,male,gfp,cno,11/7/25,12:10:15,0,beginning,,beginning,cohort1
h186.3,male,gfp,cno,11/7/25,12:10:15,6,light1,,light,cohort1
h186.3,male,gfp,cno,,,4,light2,,light,cohort1
h186.3,male,gfp,cno,11/7/25,12:10:15,8,sound1,,sound,cohort1
h186.3,male,gfp,cno,11/7/25,12:10:15,2,sound2,,sound,cohort1
h186.3,male,gfp,veh,11/10/25,13:12:20,36,beginning,,beginning,cohort1
h186.3,male,gfp,veh,11/10/25,13:12:20,2,light1,,light,cohort1
h186.3,male,gfp,veh,,,4,light2,,light,cohort1
h186.3,male,gfp,veh,11/10/25,13:12:20,6,sound1,,sound,cohort1
h186.3,male,gfp,veh,,,6,sound2,,sound,cohort1
h188.1,male,gi,cno,12/31/2025,14:07:12,0,beginning,,beginning,cohort2
h188.2,male,gi,cno,12/31/2025,14:07:12,0,beginning,,beginning,cohort2
h189.1,female,gi,cno,12/31/2025,14:07:12,0,beginning,,beginning,cohort2
h189.2,female,gi,cno,12/31/2025,14:07:12,8,beginning,,beginning,cohort2
h189.3,female,gi,cno,12/31/2025,14:07:12,0,beginning,,beginning,cohort2
h189.4,female,gi,cno,12/31/2025,14:07:12,0,beginning,,beginning,cohort2
h189.5,female,gi,cno,12/31/2025,14:07:12,0,beginning,,beginning,cohort2
h188.1,male,gi,cno,12/31/2025,14:07:12,2,sound1,,sound,cohort2
h188.2,male,gi,cno,12/31/2025,14:07:12,0,sound1,,sound,cohort2
h189.1,female,gi,cno,12/31/2025,14:07:12,18,sound1,,sound,cohort2
h189.2,female,gi,cno,12/31/2025,14:07:12,12,sound1,,sound,cohort2
h189.3,female,gi,cno,12/31/2025,14:07:12,0,sound1,,sound,cohort2
h189.4,female,gi,cno,12/31/2025,14:07:12,20,sound1,,sound,cohort2
h189.5,female,gi,cno,12/31/2025,14:07:12,18,sound1,,sound,cohort2
h188.1,male,gi,cno,12/31/2025,14:07:12,0,sound2,,sound,cohort2
h188.2,male,gi,cno,12/31/2025,14:07:12,0,sound2,,sound,cohort2
h189.1,female,gi,cno,12/31/2025,14:07:12,0,sound2,,sound,cohort2
h189.2,female,gi,cno,12/31/2025,14:07:12,18,sound2,,sound,cohort2
h189.3,female,gi,cno,12/31/2025,14:07:12,0,sound2,,sound,cohort2
h189.4,female,gi,cno,12/31/2025,14:07:12,16,sound2,,sound,cohort2
h189.5,female,gi,cno,12/31/2025,14:07:12,8,sound2,,sound,cohort2
h188.1,male,gi,cno,12/31/2025,14:07:12,0,light1,,light,cohort2
h188.2,male,gi,cno,12/31/2025,14:07:12,0,light1,,light,cohort2
h189.1,female,gi,cno,12/31/2025,14:07:12,16,light1,,light,cohort2
h189.2,female,gi,cno,12/31/2025,14:07:12,6,light1,,light,cohort2
h189.3,female,gi,cno,12/31/2025,14:07:12,0,light1,,light,cohort2
h189.4,female,gi,cno,12/31/2025,14:07:12,0,light1,,light,cohort2
h189.5,female,gi,cno,12/31/2025,14:07:12,0,light1,,light,cohort2
h188.1,male,gi,cno,12/31/2025,14:07:12,0,light2,,light,cohort2
h188.2,male,gi,cno,12/31/2025,14:07:12,0,light2,,light,cohort2
h189.1,female,gi,cno,12/31/2025,14:07:12,0,light2,,light,cohort2
h189.2,female,gi,cno,12/31/2025,14:07:12,8,light2,,light,cohort2
h189.3,female,gi,cno,12/31/2025,14:07:12,0,light2,,light,cohort2
h189.4,female,gi,cno,12/31/2025,14:07:12,0,light2,,light,cohort2
h189.5,female,gi,cno,12/31/2025,14:07:12,0,light2,,light,cohort2
h188.1,male,gi,veh,1/2/2026,12:45:29,0,beginning,,beginning,cohort2
h188.2,male,gi,veh,1/2/2026,12:45:29,20,beginning,,beginning,cohort2
h189.1,female,gi,veh,1/2/2026,12:45:29,0,beginning,,beginning,cohort2
h189.2,female,gi,veh,1/2/2026,12:45:29,40,beginning,,beginning,cohort2
h189.3,female,gi,veh,1/2/2026,12:45:29,0,beginning,,beginning,cohort2
h189.4,female,gi,veh,1/2/2026,12:45:29,32,beginning,,beginning,cohort2
h189.5,female,gi,veh,1/2/2026,12:45:29,28,beginning,,beginning,cohort2
h188.1,male,gi,veh,1/2/2026,12:45:29,6,sound1,,sound,cohort2
h188.2,male,gi,veh,1/2/2026,12:45:29,18,sound1,,sound,cohort2
h189.1,female,gi,veh,1/2/2026,12:45:29,20,sound1,,sound,cohort2
h189.2,female,gi,veh,1/2/2026,12:45:29,12,sound1,,sound,cohort2
h189.3,female,gi,veh,1/2/2026,12:45:29,0,sound1,,sound,cohort2
h189.4,female,gi,veh,1/2/2026,12:45:29,16,sound1,,sound,cohort2
h189.5,female,gi,veh,1/2/2026,12:45:29,18,sound1,,sound,cohort2
h188.1,male,gi,veh,1/2/2026,12:45:29,0,sound2,,sound,cohort2
h188.2,male,gi,veh,1/2/2026,12:45:29,24,sound2,,sound,cohort2
h189.1,female,gi,veh,1/2/2026,12:45:29,6,sound2,,sound,cohort2
h189.2,female,gi,veh,1/2/2026,12:45:29,6,sound2,,sound,cohort2
h189.3,female,gi,veh,1/2/2026,12:45:29,0,sound2,,sound,cohort2
h189.4,female,gi,veh,1/2/2026,12:45:29,26,sound2,,sound,cohort2
h189.5,female,gi,veh,1/2/2026,12:45:29,12,sound2,,sound,cohort2
h188.1,male,gi,veh,1/2/2026,12:45:29,0,light1,,light,cohort2
h188.2,male,gi,veh,1/2/2026,12:45:29,18,light1,,light,cohort2
h189.1,female,gi,veh,1/2/2026,12:45:29,6,light1,,light,cohort2
h189.2,female,gi,veh,1/2/2026,12:45:29,18,light1,,light,cohort2
h189.3,female,gi,veh,1/2/2026,12:45:29,0,light1,,light,cohort2
h189.4,female,gi,veh,1/2/2026,12:45:29,0,light1,,light,cohort2
h189.5,female,gi,veh,1/2/2026,12:45:29,0,light1,,light,cohort2
h188.1,male,gi,veh,1/2/2026,12:45:29,0,light2,,light,cohort2
h188.2,male,gi,veh,1/2/2026,12:45:29,18,light2,,light,cohort2
h189.1,female,gi,veh,1/2/2026,12:45:29,0,light2,,light,cohort2
h189.2,female,gi,veh,1/2/2026,12:45:29,0,light2,,light,cohort2
h189.3,female,gi,veh,1/2/2026,12:45:29,0,light2,,light,cohort2
h189.4,female,gi,veh,1/2/2026,12:45:29,0,light2,,light,cohort2
h189.5,female,gi,veh,1/2/2026,12:45:29,0,light2,,light,cohort2