Animal,treatment,Time,reinforcement,presses,detector,press_rate,cohort,group,sex,groups
H82_2,cno,14400,21,1994,682,0.138472222,h80,cont,female,cont_cno
H82_2,veh,10608.96,22,2393,343,0.225564052,h80,cont,female,cont_veh
H82_3,cno,14400,19,1220,794,0.084722222,h80,cont,female,cont_cno
H82_3,veh,7247.33,17,759,324,0.104728224,h80,cont,female,cont_veh
H82_4,cno,10844.99,13,334,530,0.030797631,h80,cont,female,cont_cno
H82_4,veh,12848.82,18,1090,543,0.084832693,h80,cont,female,cont_veh
H82_5,cno,14400,21,1945,680,0.135069444,h80,cont,female,cont_cno
H82_5,veh,14400,22,2276,746,0.158055556,h80,cont,female,cont_veh
H90.1,cno,14400,24,3242,543,0.225138889,h90,cont,female,cont_cno
H90.2,cno,14400,23,2931,437,0.203541667,h90,cont,female,cont_cno
H90.2,veh,14400,24,3757,242,0.260902778,h90,cont,female,cont_veh
H93.1,veh,7878.78,25,4141,178,0.525588987,h90,cont,female,cont_veh
H93.1,cno,14400,24,3875,334,0.269097222,h90,cont,female,cont_cno
H93.3,cno,14400,22,2477,494,0.172013889,h90,cont,female,cont_cno
H93.3,veh,14400,24,3320,408,0.230555556,h90,cont,female,cont_veh
H84_2,cno,14400,19,1239,588,0.086041667,h80,GI,female,GI_cno
H84_2,veh,14400,21,1750,623,0.121527778,h80,GI,female,GI_veh
H86_4,cno,878.7,6,47,28,0.053488107,h80,GI,female,GI_cno
H86_4,veh,8647.41,20,1495,351,0.172884135,h80,GI,female,GI_veh
H93.2,veh,4825.18,22,2062,40,0.427341571,h90,GI,female,GI_veh
H93.2,cno,11536.71,23,2702,153,0.234208886,h90,GI,female,GI_cno
H93.4,veh,8553.51,18,1040,684,0.121587512,h90,GI,female,GI_veh
H93.4,cno,4590.5,13,323,97,0.070362706,h90,GI,female,GI_cno
H94.1,cno,14400,22,2329,305,0.161736111,h90,GI,female,GI_cno
H94.1,veh,14400,23,3129,392,0.217291667,h90,GI,female,GI_veh
H94.2,cno,5189.21,12,267,27,0.051452919,h90,GI,female,GI_cno
H94.2,veh,14400,26,2245,277,0.155902778,h90,GI,female,GI_veh
H94.3,veh,14400,23,2692,413,0.186944444,h90,GI,female,GI_veh
H94.3,cno,1219.35,7,61,45,0.050026654,h90,GI,female,GI_cno
h53.3,veh,6211.71,16,648,,,zi-vp,cont,female,cont_veh
h53.3,cno,10256.38,18,1005,,,zi-vp,cont,female,cont_cno
h53.4,veh,14400,22,2331,,,zi-vp,cont,female,cont_veh
h53.4,cno,4511.36,20,1689,,,zi-vp,cont,female,cont_cno
h59.2,veh,3940.05,9,108,,,zi-vp,cont,female,cont_veh
h59.2,cno,6167.01,10,140,,,zi-vp,cont,female,cont_cno
h62.3,veh,14400,19,1296,,,zi-vp,cont,female,cont_veh
h62.3,cno,14400,21,1755,,,zi-vp,cont,female,cont_cno
H88_2,cno,9091.13,18,998,226,0.109777332,h80,cont,male,cont_cno
H88_2,veh,14400,24,3513,326,0.243958333,h80,cont,male,cont_veh
H89_1,cno,14400,21,1715,402,0.119097222,h80,cont,male,cont_cno
H89_1,veh,14400,21,1792,167,0.124444444,h80,cont,male,cont_veh
H89_2,cno,2578.65,8,78,131,0.030248386,h80,cont,male,cont_cno
H89_2,veh,14400,20,1604,441,0.111388889,h80,cont,male,cont_veh
H89_3,cno,14400,21,1712,305,0.118888889,h80,cont,male,cont_cno
H89_3,veh,3739.18,14,441,47,0.117940297,h80,cont,male,cont_veh
H91.1,cno,14400,23,3115,444,0.216319444,h90,cont,male,cont_cno
H91.1,veh,14400,23,3112,223,0.216111111,h90,cont,male,cont_veh
H91.2,veh,14400,25,3786,373,0.262916667,h90,cont,male,cont_veh
H91.2,cno,14400,24,3824,648,0.265555556,h90,cont,male,cont_cno
H91.3,veh,8858.56,22,2464,263,0.278149045,h90,cont,male,cont_veh
H91.3,cno,14400,23,2995,408,0.207986111,h90,cont,male,cont_cno
H91.4,veh,14400,24,3356,540,0.233055556,h90,cont,male,cont_veh
H91.4,cno,14400,23,2791,409,0.193819444,h90,cont,male,cont_cno
H83_2,cno,1840.5,9,118,15,0.064113013,h80,GI,male,GI_cno
H83_2,veh,3595.3,12,266,56,0.073985481,h80,GI,male,GI_veh
H85_2,cno,14400,20,1584,299,0.11,h80,GI,male,GI_cno
H85_2,veh,14400,22,2419,233,0.167986111,h80,GI,male,GI_veh
H85_3,cno,6017.43,13,310,148,0.05151701,h80,GI,male,GI_cno
H85_3,veh,14400,21,1889,421,0.131180556,h80,GI,male,GI_veh
H91.5,veh,14400,22,1951,1184,0.135486111,h90,GI,male,GI_veh
H91.5,cno,14400,20,1532,496,0.106388889,h90,GI,male,GI_cno
H92.1,veh,14400,22,2586,219,0.179583333,h90,GI,male,GI_veh
H92.1,cno,2080.36,9,112,13,0.053836836,h90,GI,male,GI_cno
H96.1,cno,13762.85,21,2013,224,0.14626331,h90,GI,male,GI_cno
H96.1,veh,14400,24,3347,213,0.232430556,h90,GI,male,GI_veh
H96.2,cno,14400,21,1880,498,0.130555556,h90,GI,male,GI_cno
H96.2,veh,13751.2,21,1819,359,0.132279365,h90,GI,male,GI_veh
h50.3,veh,9178.35,16,659,,,zi-vp,cont,male,cont_veh
h50.3,cno,14400,18,957,,,zi-vp,cont,male,cont_cno
h50.4,veh,13478.37,18,1062,,,zi-vp,cont,male,cont_veh
h50.4,cno,9421.35,16,697,,,zi-vp,cont,male,cont_cno
h51.3,veh,3051.77,14,419,,,zi-vp,cont,male,cont_veh
h51.3,cno,7836.57,19,1281,,,zi-vp,cont,male,cont_cno
h51.4,veh,2606.4,9,114,,,zi-vp,cont,male,cont_veh
h51.4,cno,14400,19,1296,,,zi-vp,cont,male,cont_cno
h58.1_2,veh,2784.36,11,195,,,zi-vp,cont,male,cont_veh
h58.1_2,cno,4838.88,13,305,,,zi-vp,cont,male,cont_cno
h58.2_3,veh,8167.88,15,537,,,zi-vp,cont,male,cont_veh
h58.2_3,cno,7410.14,17,753,,,zi-vp,cont,male,cont_cno
h63.2,veh,4434.77,14,430,,,zi-vp,cont,male,cont_veh
h63.2,cno,14400,23,2752,,,zi-vp,cont,male,cont_cno