reinforcement,animal,treatment,total_time,presses,group,subgroup,cort,sex,group2,cohort,group_cohort,group_treat,fr3
23,H104.1,cno,12603.27,3079,hm3dgq,GQ,cont,fem,cont,h100,cont_h100,GQ_cno,no
13,H104.1,veh,4865.23,290,hm3dgq,GQ,cont,fem,cont,h100,cont_h100,GQ_veh,no
21,H104.2,cno,6315.38,1763,hm3dgq,GQ,cont,fem,cont,h100,cont_h100,GQ_cno,no
15,H104.2,veh,8289.53,534,hm3dgq,GQ,cont,fem,cont,h100,cont_h100,GQ_veh,no
23,H104.3,cno,9601.67,3047,hm3dgq,GQ,cont,fem,cont,h100,cont_h100,GQ_cno,no
14,H104.3,veh,5832.91,444,hm3dgq,GQ,cont,fem,cont,h100,cont_h100,GQ_veh,no
13,H106.2,cno,2323.45,319,hm3dgq,GQ,cont,male,cont,h100,cont_h100,GQ_cno,no
14,H106.2,veh,3298.27,371,hm3dgq,GQ,cont,male,cont,h100,cont_h100,GQ_veh,no
18,H107.2,cno,8659.16,1027,hm3dgq,GQ,cont,male,cont,h100,cont_h100,GQ_cno,no
19,H107.2,veh,14400,1278,hm3dgq,GQ,cont,male,cont,h100,cont_h100,GQ_veh,no
20,H108.2,cno,3952.59,1452,hm3dgq,GQ,cort,male,cort,h100,cort_h100,GQ_cno,no
14,H108.2,veh,3370.02,438,hm3dgq,GQ,cort,male,cort,h100,cort_h100,GQ_veh,no
24,H108.3,cno,5837.51,3389,hm3dgq,GQ,cort,male,cort,h100,cort_h100,GQ_cno,no
20,H108.3,veh,12768.77,1670,hm3dgq,GQ,cort,male,cort,h100,cort_h100,GQ_veh,no
17,H109.2,cno,2784.3,834,hm3dgq,GQ,cort,male,cort,h100,cort_h100,GQ_cno,no
13,H109.2,veh,3619.74,348,hm3dgq,GQ,cort,male,cort,h100,cort_h100,GQ_veh,no
22,H111.3,cno,7129.91,2524,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110,GQ_cno,no
19,H111.3,veh,14400,1249,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110,GQ_veh,no
24,H111.4,cno,8965.78,3715,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110,GQ_cno,no
17,H111.4,veh,9986.03,739,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110,GQ_veh,no
20,H112.1,cno,14400,1524,gfp,GQ,cort,fem,gfp,h110,gfp_h110,cont_cno,no
15,H112.1,veh,5555.18,519,gfp,GQ,cort,fem,gfp,h110,h110,cont_veh,no
26,H112.2,cno,13811,5634,gfp,GQ,cort,fem,gfp,h110,gfp_h110,cont_cno,no
14,H112.2,veh,1104.5,355,gfp,GQ,cort,fem,gfp,h110,h110,cont_veh,no
19,H112.3,cno,14400,1338,gfp,GQ,cort,fem,gfp,h110,gfp_h110,cont_cno,no
21,H112.3,veh,12722.36,1935,gfp,GQ,cort,fem,gfp,h110,h110,cont_veh,no
19,H113.1,cno,14250.72,1234,gfp,GQ,cort,fem,gfp,h110,gfp_h110,cont_cno,no
19,H113.1,veh,14400,1143,gfp,GQ,cort,fem,gfp,h110,h110,cont_veh,no
14,H113.2,cno,2631.33,449,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110,GQ_cno,no
20,H113.2,veh,14400,1604,hm3dgq,GQ,cort,fem,hm3dgq,h110,hm3dgq_h110,GQ_veh,no
23,H114.3,cno,14400,2883,gfp,GQ,cort,male,gfp,h110,gfp_h110,cont_cno,no
22,H114.3,veh,14400,2190,gfp,GQ,cort,male,gfp,h110,h110,cont_veh,no
21,h15.3,cno,14400,1947,hm3dgq,GQ,cont,fem,,h15h20,,GQ_cno,no
11,h15.3,veh,4869.86,209,hm3dgq,GQ,cont,fem,,h15h20,,GQ_veh,no
21,h16.3,cno,14400,2102,hm3dgq,GQ,cort,fem,,h15h20,,GQ_cno,no
10,h16.3,veh,2958.06,156,hm3dgq,GQ,cort,fem,,h15h20,,GQ_veh,no
22,h17.1,cno,9670,2471,hm3dgq,GQ,cort,male,,h15h20,,GQ_cno,no
11,h17.1,veh,2013.08,199,hm3dgq,GQ,cort,male,,h15h20,,GQ_veh,no
21,h17.2,cno,5182.44,1884,hm3dgq,GQ,cort,male,,h15h20,,GQ_cno,no
9,h17.2,veh,833.05,98,hm3dgq,GQ,cort,male,,h15h20,,GQ_veh,no
15,h176.2,cno,,530,hm3dgq,GQ,cont,fem,,h170,,GQ_cno,no
11,h176.2,veh,,181,hm3dgq,GQ,cont,fem,,h170,,GQ_veh,no
5,h176.3,cno,,31,gfp,GQ,cont,fem,,h170,,cont_cno,no
4,h176.3,veh,,21,gfp,GQ,cont,fem,,h170,,cont_veh,no
10,h176.4,cno,,157,gfp,GQ,cont,fem,,h170,,cont_cno,no
21,h176.4,veh,,1753,gfp,GQ,cont,fem,,h170,,cont_veh,no
18,h177.1,cno,,1093,hm3dgq,GQ,cont,male,,h170,,GQ_cno,no
25,h177.1,veh,,4826,hm3dgq,GQ,cont,male,,h170,,GQ_veh,no
13,h177.2,cno,,322,gfp,GQ,cont,male,,h170,,cont_cno,no
14,h177.2,veh,,426,gfp,GQ,cont,male,,h170,,cont_veh,no
17,h178.1,cno,,868,hm3dgq,GQ,cont,male,,h170,,GQ_cno,no
18,h178.1,veh,,998,hm3dgq,GQ,cont,male,,h170,,GQ_veh,no
18,h178.2,cno,,1096,gfp,GQ,cont,male,,h170,,cont_cno,no
19,h178.2,veh,,1285,gfp,GQ,cont,male,,h170,,cont_veh,no
14,h18.1,cno,6015.98,413,hm3dgq,GQ,cont,male,,h15h20,,GQ_cno,no
14,h18.1,veh,3327.16,367,hm3dgq,GQ,cont,male,,h15h20,,GQ_veh,no
23,h20.1,cno,14400,3161,hm3dgq,GQ,cort,male,,h15h20,,GQ_cno,no
16,h20.1,veh,3364.81,684,hm3dgq,GQ,cort,male,,h15h20,,GQ_veh,no
13,H111.2,veh,5713.77,328,hm3dgq,GQ,cort,fem,hm3dgq,h110,cort_veh,GQ_veh,no
25,H111.2,cno,14400,4713,hm3dgq,GQ,cort,fem,hm3dgq,h110,cort_cno,GQ_cno,no