animal,Date,group,sex,treatm,Exp. Duration,lever,reinforcement
S10.1,4/15/25,cont,female,veh,14400,2388,22
S10.2,4/15/25,cont,female,veh,14400,3123,23
S10.3,4/15/25,cont,female,veh,14400,5223,26
S10.4,4/15/25,cont,female,veh,2478.04,216,12
S7.1,4/15/25,cont,male,veh,14400,1500,20
S7.2,4/15/25,cont,male,veh,14400,3583,24
S7.3,4/15/25,cont,male,veh,4730.29,711,16
S5.1,4/16/25,stress_gq,male,veh,2210.14,208,11
S5.2,4/16/25,stress_gq,male,veh,2982.12,277,12
S5.3,4/16/25,stress_gfp,male,veh,11609.2,3199,23
S5.4,4/16/25,stress_gfp,male,veh,5992.55,555,15
S6.1,4/16/25,stress_gq,male,veh,5164.09,1094,18
S6.2,4/16/25,stress_gq,male,veh,1291.79,142,10
S6.3,4/16/25,stress_gfp,male,veh,9826.4,2124,22
S6.4,4/16/25,stress_gfp,male,veh,5183.74,894,18
S10.1,4/17/25,cont,female,cno,14400,1681,20
S10.2,4/17/25,cont,female,cno,14400,2885,23
S10.3,4/17/25,cont,female,cno,11862.13,5781,26
S10.4,4/17/25,cont,female,cno,3299.44,543,15
S7.1,4/17/25,cont,male,cno,12709.59,1245,19
S7.2,4/17/25,cont,male,cno,14400,3691,24
S7.3,4/17/25,cont,male,cno,6433.46,758,17
S8.1,4/18/25,stress_gq,female,veh,1441.85,83,8
S8.2,4/18/25,stress_gq,female,veh,1670.48,166,11
S8.3,4/18/25,stress_gfp,female,veh,1644.76,144,10
S8.4,4/18/25,stress_gfp,female,veh,1629.68,83,8
S9.1,4/18/25,stress_gq,female,veh,1148.96,71,8
S9.2,4/18/25,stress_gq,female,veh,1715.59,73,8
S9.3,4/18/25,stress_gfp,female,veh,5084.05,449,14
S9.4,4/18/25,stress_gfp,female,veh,2125.42,166,11
S5.1,4/19/25,stress_gq,male,cno,5004.49,1691,20
S5.2,4/19/25,stress_gq,male,cno,1318.84,536,15
S5.3,4/19/25,stress_gfp,male,cno,3027.19,868,17
S5.4,4/19/25,stress_gfp,male,cno,3075.05,323,13
S6.1,4/19/25,stress_gq,male,cno,12378.71,5691,26
S6.2,4/19/25,stress_gq,male,cno,14400,4327,25
S6.3,4/19/25,stress_gfp,male,cno,14400,6191,27
S6.4,4/19/25,stress_gfp,male,cno,2167.66,675,16
S8.1,4/20/25,stress_gq,female,cno,8235.94,2306,22
S8.2,4/20/25,stress_gq,female,cno,12589.72,4788,25
S8.3,4/20/25,stress_gfp,female,cno,7143.43,824,17
S8.4,4/20/25,stress_gfp,female,cno,1655.69,126,10
S9.1,4/20/25,stress_gq,female,cno,11807.28,2109,22
S9.2,4/20/25,stress_gq,female,cno,6363.78,1027,18
S9.3,4/20/25,stress_gfp,female,cno,5064.85,1086,18
S9.4,4/20/25,stress_gfp,female,cno,3717.63,843,17