Animal,treatment,lev1,lev2,lev1_rate,lev2_rate,lev1_over_lev2
H91.1,cno,26,35,5.20,7.00,0.426229508
H91.2,cno,70,34,14.00,6.80,0.673076923
H91.3,cno,71,13,14.20,2.60,0.845238095
H94.1,cno,24,0,4.80,0.00,1
H94.2,cno,7,0,1.40,0.00,1
H94.3,cno,27,2,5.40,0.40,0.931034483
H91.4,cno,46,28,9.20,5.60,0.621621622
H91.5,cno,32,4,6.40,0.80,0.888888889
H92.1,cno,7,0,1.40,0.00,1
H92.3,cno,2,0,0.40,0.00,1
H90.2,cno,36,13,7.20,2.60,0.734693878
H93.1,cno,137,3,27.40,0.60,0.978571429
H93.2,cno,29,2,5.80,0.40,0.935483871
H93.3,cno,57,0,11.40,0.00,1
H93.4,cno,6,0,1.20,0.00,1
H96.1,cno,17,0,3.40,0.00,1
H96.2,cno,18,3,3.60,0.60,0.857142857
H91.1,veh,16,1,3.20,0.20,0.941176471
H91.2,veh,58,5,11.60,1.00,0.920634921
H91.3,veh,80,5,16.00,1.00,0.941176471
H94.1,veh,44,2,8.80,0.40,0.956521739
H94.2,veh,39,0,7.80,0.00,1
H94.3,veh,33,1,6.60,0.20,0.970588235
H91.4,veh,15,24,3.00,4.80,0.384615385
H91.5,veh,55,4,11.00,0.80,0.93220339
H92.1,veh,33,2,6.60,0.40,0.942857143
H92.3,veh,32,1,6.40,0.20,0.96969697
H90.2,veh,24,21,4.80,4.20,0.533333333
H93.1,veh,61,0,12.20,0.00,1
H93.2,veh,22,5,4.40,1.00,0.814814815
H93.3,veh,47,5,9.40,1.00,0.903846154
H93.4,veh,13,1,2.60,0.20,0.928571429
H96.1,veh,47,0,9.40,0.00,1
H96.2,veh,14,0,2.80,0.00,1